Date	BC	AB	SK	MB	ON	QC	NL	NB	NS	PE	Canada
2020-03-24	1.43	0.92	0.79	0.15	0.4	1.61	0.93	0.2	0.67	0.18	0.88
2020-03-25	1.31	1.04	0.95	0.21	0.48	2.11	1.75	0.33	0.89	0.36	1.06
2020-03-26	1.26	1.1	0.91	0.2	0.58	2.51	2.16	0.4	0.86	0.63	1.19
2020-03-27	1.26	1.12	0.95	0.23	0.66	3.13	2.68	0.62	1.09	0.81	1.39
2020-03-28	1.28	1.02	1.09	0.47	0.6	3.79	3.12	0.62	1.3	0.81	1.52
2020-03-29	1.28	1.17	0.99	0.55	0.9	4.36	3.45	0.9	1.37	0.72	1.8
2020-03-30	1.35	1.26	1.32	0.79	1.17	4.66	3.39	0.93	1.25	1.34	2.01
2020-03-31	0.98	1.28	1.36	0.85	1.34	5.24	3.2	0.95	1.4	1.61	2.16
2020-04-01	1.13	1.08	1.3	0.95	1.65	5.44	2.96	1.01	1.53	1.43	2.33
2020-04-02	1.1	1.56	1.35	1.36	1.88	6.48	2.76	1.06	1.75	1.16	2.72
2020-04-03	1.25	1.72	1.41	1.48	2.19	6.79	2.22	0.91	1.71	0.98	2.95
2020-04-04	0.89	1.72	1.18	1.35	2.56	7.49	2.05	0.86	1.84	0.98	3.19
2020-04-05	0.89	2.03	1.39	1.36	2.6	8.49	2.24	0.64	2.04	0.98	3.48
2020-04-06	0.85	2.13	0.95	1.12	2.56	8.58	2.13	0.64	2.42	0.36	3.47
2020-04-07	0.89	2	0.92	1.18	2.68	8.62	2.08	0.64	2.38	0.09	3.51
2020-04-08	0.75	2.16	0.95	0.97	2.8	9.02	1.56	0.49	2.47	0.27	3.64
2020-04-09	0.69	1.56	0.87	0.59	2.88	8.98	1.45	0.37	2.63	0.27	3.56
2020-04-10	0.65	1.37	0.79	0.5	2.89	9.29	1.53	0.31	2.92	0.27	3.61
2020-04-11	0.67	1.6	0.7	0.5	2.93	8.81	1.26	0.26	2.8	0.27	3.54
2020-04-12	0.67	1.3	0.59	0.4	2.92	8.16	0.68	0.24	2.67	0.27	3.33
2020-04-13	0.62	1.24	0.57	0.44	3.03	8.29	0.49	0.24	2.64	0.27	3.39
2020-04-14	0.63	1.61	0.5	0.3	3.13	8.17	0.44	0.2	3.02	0.27	3.45
2020-04-15	0.62	1.85	0.4	0.26	3.07	8.04	0.41	0.16	3.02	0.18	3.42
2020-04-16	0.53	2.28	0.33	0.27	3.1	8.23	0.44	0.11	3	0.09	3.51
2020-04-17	0.46	2.9	0.27	0.21	3.19	8.53	0.47	0.09	2.9	0.09	3.66
2020-04-18	0.48	3.21	0.29	0.11	3.26	8.7	0.41	0.11	3.22	0.09	3.77
2020-04-19	0.48	2.94	0.21	0.11	3.42	9.17	0.38	0.07	3.35	0.09	3.91
2020-04-20	0.58	3.8	0.19	0.08	3.6	9.59	0.33	0.04	3.6	0.09	4.19
2020-04-21	0.57	3.96	0.23	0.09	3.67	9.79	0.33	0.04	3.21	0.09	4.27
2020-04-22	0.65	4.54	0.27	0.11	3.68	10.16	0.25	0.02	3.25	0	4.44
2020-04-23	0.73	5.05	0.32	0.12	3.8	9.95	0.11	0.02	3.62	0	4.52
2020-04-24	0.77	5.23	0.41	0.13	3.87	9.68	0	0.02	3.56	0	4.51
2020-04-25	0.92	5.4	0.44	0.15	3.86	9.57	0.03	0	3.15	0	4.51
2020-04-26	0.92	6.2	0.46	0.19	3.74	9.57	0.05	0	2.89	0	4.55
2020-04-27	0.83	5.78	0.59	0.19	3.56	9.43	0.05	0	2.61	0	4.39
2020-04-28	0.91	5.67	0.56	0.18	3.54	9.37	0.05	0	2.6	0.09	4.36
2020-04-29	0.81	5.7	0.69	0.17	3.38	9.37	0.05	0	2.38	0.09	4.29
2020-04-30	0.8	5.28	0.7	0.13	3.21	9.49	0.05	0	1.75	0.09	4.18
2020-05-01	0.81	5.03	0.9	0.17	3	10.04	0.08	0	1.59	0.09	4.2
2020-05-02	0.62	4.64	0.87	0.13	3.03	10.64	0.05	0	1.43	0.09	4.27
2020-05-03	0.62	4.15	0.97	0.1	3.03	12.91	0.03	0	1.43	0.09	4.73
2020-05-04	0.63	3.68	1.24	0.09	2.97	12.72	0.03	0	1.24	0.09	4.61
2020-05-05	0.5	3.37	1.47	0.1	2.84	12.75	0.03	0.02	1.11	0	4.52
2020-05-06	0.47	2.58	1.56	0.1	2.9	12.88	0.03	0.04	0.92	0	4.47
2020-05-07	0.49	2.14	1.72	0.08	2.84	12.82	0.05	0.04	0.88	0	4.39
2020-05-08	0.47	1.7	1.56	0.05	2.9	12.49	0.03	0.04	0.71	0	4.27
2020-05-09	0.44	1.57	1.6	0.04	2.74	12.2	0.03	0.04	0.7	0	4.13
2020-05-10	0.44	1.57	1.59	0.06	2.6	9.75	0.03	0.04	0.69	0	3.52
2020-05-11	0.36	1.5	1.22	0.08	2.54	9.73	0.03	0.04	0.5	0	3.46
2020-05-12	0.36	1.46	1.04	0.07	2.52	9.67	0.03	0.02	0.42	0	3.42
2020-05-13	0.34	1.43	0.79	0.06	2.44	9.33	0.03	0	0.38	0	3.3
2020-05-14	0.29	1.42	0.62	0.06	2.39	9.14	0	0	0.28	0	3.22
2020-05-15	0.26	1.35	0.56	0.05	2.25	8.77	0	0	0.38	0	3.07
2020-05-16	0.27	1.39	0.46	0.05	2.3	8.65	0	0	0.38	0	3.07
2020-05-17	0.27	1.26	0.34	0.02	2.34	8.66	0	0	0.32	0	3.07
2020-05-18	0.25	1.24	0.29	0.01	2.34	8.59	0	0	0.35	0	3.04
2020-05-19	0.24	1.2	0.32	0.01	2.4	8.27	0	0	0.35	0	2.99
2020-05-20	0.25	1	0.52	0.01	2.46	8.06	0	0	0.31	0	2.95
2020-05-21	0.24	1	0.48	0.01	2.53	7.95	0	0.02	0.29	0	2.95
2020-05-22	0.28	0.92	0.45	0.03	2.62	7.85	0	0.02	0.2	0	2.96
2020-05-23	0.25	0.75	0.47	0.03	2.64	7.75	0	0.02	0.18	0	2.92
2020-05-24	0.25	0.7	0.48	0.03	2.76	7.48	0	0.02	0.15	0	2.89
2020-05-25	0.24	0.63	0.51	0.02	2.86	7.25	0	0.02	0.12	0	2.87
